  0.87
 r 0.04
 l 0.09
pyrometers nn 1.00
whoever pn 1.00
clear-cut jj 1.00
prowling vb 1.00
Sorrentino nn 1.00
2118 cd 1.00
assailed vb 1.00
tax-avoidance nn 1.00
constrictors nn 1.00
recede vb 1.00
balm-of-Gilead nn 1.00
ventilating vb 1.00
Max's np$ 1.00
altered vb 1.00
a. nn 0.67
a. jj 0.33
damage nn 0.85
damage vb 0.15
Rammin' vb 1.00
172nd od 1.00
rudder nn 1.00
therapist's nn 1.00
hyped-up jj 1.00
girlie nn 1.00
screen nn 0.89
screen vb 0.11
visiting vb 1.00
Morris' np$ 1.00
Orders nn 1.00
rodent nn 1.00
generally advb 0.97
generally ql 0.03
illicit jj 1.00
ghazals fw- 1.00
Balenciaga nn 1.00
enthusiastic jj 1.00
bluffing vb 1.00
fender nn 1.00
third-rate jj 1.00
Merchandise nn 1.00
parted vb 1.00
supper nn 1.00
glanced vb 1.00
incomprehensible jj 1.00
pressure nn 0.99
pressure vb 0.01
uniformity nn 1.00
audibly advb 1.00
Oslo nn 1.00
croaking nn 1.00
grudges nn 1.00
correlating vb 1.00
evaporation nn 1.00
audible jj 1.00
fifth od 1.00
Tempest nn 1.00
Raceway nn 1.00
Unlimited jj 1.00
Presidents nn 1.00
Royaux fw-jj-tl 1.00
Eternity nn 1.00
boar nn 1.00
hardware nn 1.00
misinterpreters nn 1.00
invalid jj 0.50
invalid nn 0.50
dispossession nn 1.00
Baltimorean nn 1.00
thyroid-stimulating jj 1.00
C'est fw-dt+bez 1.00
flavor nn 1.00
anti-Catholicism nn 1.00
intelligentsia nn 1.00
farmer nn 1.00
dirt-catcher nn 1.00
Yin-Yang nn 1.00
licked vb 1.00
farmed vb 1.00
transgression nn 1.00
Government-owned jj 1.00
facet-planes nn 1.00
Narrow jj 1.00
Referring vb 1.00
darting vb 1.00
homozygous jj 1.00
coordinator nn 1.00
stair-well nn 1.00
riddled vb 1.00
cognac nn 1.00
redeem vb 1.00
Walk nn 0.25
Walk vb 0.75
Wansley nn 1.00
Mandate nn 1.00
fifteenth od 1.00
$.03 nn 1.00
uni-directional jj 1.00
unbeknownst jj 1.00
Consent vb 1.00
befuddles vb 1.00
correspondent nn 1.00
Rococo jj 1.00
straggled vb 1.00
libertine nn 1.00
hand-covered jj 1.00
formulaic jj 1.00
M.A. nn 1.00
then jj 0.01
then advb 0.98
then cs 0.00
Pogue nn 1.00
enriched vb 1.00
high-positive jj 1.00
stomach nn 1.00
ExPe nn 1.00
self-destructive jj 1.00
Chapelles nn 1.00
Supervisors nn 1.00
elusiveness nn 1.00
$.09 nn 1.00
Palfrey's np$ 1.00
claims nn 0.72
claims vb 0.28
Legers nn 1.00
Beaten vb 1.00
theorem nn 1.00
honey-in-the-sun jj 1.00
industralization nn 1.00
confidant nn 1.00
follow-through nn 1.00
simpliciter fw 1.00
Adherence nn 1.00
reunions nn 1.00
hollowware nn 1.00
descended vb 1.00
fulfill vb 1.00
forma nn 1.00
Articles nn 1.00
Walking vb 1.00
2.26 cd 1.00
catastrophically advb 0.50
catastrophically ql 0.50
Paula's np$ 1.00
levies nn 1.00
forms nn 0.96
forms vb 0.04
grading vb 1.00
responsibilities nn 1.00
intial jj 1.00
social-economic jj 1.00
brushed vb 1.00
bats nn 0.83
bats vb 0.17
Leonato's np$ 1.00
chines nn 1.00
sales nn 1.00
brushes nn 1.00
bath nn 1.00
responsively advb 1.00
wall-stabilized jj 1.00
ripened vb 1.00
grace nn 1.00
Demagogues nn 1.00
juries nn 1.00
unfalteringly advb 1.00
Katharine's np+ 1.00
centralized vb 1.00
mutineer nn 1.00
rekindling nn 1.00
pinched vb 1.00
unfertile jj 1.00
soft-headed jj 1.00
dialect nn 1.00
Da-da-da-dum uh 1.00
dodging vb 1.00
mining nn 0.10
mining vb 0.90
unnatural jj 1.00
authority nn 1.00
Bones nn 1.00
frescoing nn 1.00
staff's nn 1.00
Petrarchan jj 1.00
battle-ax nn 1.00
prayerful jj 1.00
1.09.3 cd 1.00
suave jj 1.00
skeletal jj 1.00
Toomey nn 1.00
Isodine nn 1.00
Paterson nn 1.00
Ulyate nn 1.00
interlacing vb 1.00
collectively advb 1.00
Krim's np$ 1.00
bluefish nn 1.00
browny jj 1.00
salads nn 1.00
veterinary jj 1.00
statu fw 1.00
polyphosphates nn 1.00
forty-two cd 1.00
unintelligible jj 1.00
Wheelock's np$ 1.00
Pohl nn 1.00
countriman nn 1.00
shulde ql 1.00
state nn 0.96
state vb 0.04
village nn 1.00
Trivia nn 1.00
Quixote nn 1.00
advising vb 1.00
Holbrook nn 1.00
Operation nn 1.00
cry nn 0.62
cry vb 0.38
Keating's np$ 1.00
U.M.T. nn 1.00
aloof jj 0.40
aloof advb 0.60
Different jj 1.00
Those dt 1.00
denote vb 1.00
thwarting vb 1.00
predomination nn 1.00
Perrin's np$ 1.00
Maybe advb 1.00
Hope nn 0.85
Hope vb 0.15
wakefulness nn 1.00
seafood nn 1.00
Chardon nn 1.00
ears nn 1.00
lairs nn 1.00
Folsom nn 1.00
Kanto nn 1.00
PABA nn 1.00
Bootle's np$ 1.00
not-less-deadly jj 1.00
Smokers nn 1.00
redneck nn 1.00
Opposition nn 1.00
Constance nn 1.00
earl nn 1.00
earn vb 1.00
lovering nn 1.00
colonists' nn 1.00
boldly advb 1.00
Reared vb 1.00
entrust vb 1.00
paying vb 1.00
Precisely advb 1.00
diffusely advb 1.00
Calderone nn 1.00
personae nn 1.00
throats nn 1.00
gift nn 1.00
Polls nn 1.00
thread nn 1.00
throaty jj 1.00
prior jj 0.17
prior advb 0.82
Crane nn 1.00
discontinuity nn 1.00
straight jj 0.49
straight advb 0.47
straight ql 0.04
ambivalent jj 1.00
alchemy nn 1.00
unblinkingly advb 1.00
series nn 1.00
Late jj 0.80
Late advb 0.20
dimensioning nn 0.33
dimensioning vb 0.67
appreciative jj 1.00
pre-French jj 1.00
guests nn 1.00
Backs vb 1.00
metal-tasting jj 1.00
sparing vb 1.00
iodide-concentrating jj 1.00
single-spaced jj 1.00
mimetically advb 1.00
chivalrous jj 1.00
re-runs nn 1.00
signs nn 0.97
signs vb 0.03
shapely jj 1.00
Communist nn 0.74
Communist jj 0.26
Navigation nn 1.00
Communism nn 1.00
Communisn nn 1.00
profitability nn 1.00
centralizing vb 1.00
Wheelock nn 1.00
notched vb 1.00
untrammeled jj 1.00
hoof-and-mouth nn 1.00
fattening vb 1.00
Aterman nn 1.00
Lounge nn 1.00
premonitory jj 1.00
cryptographic jj 1.00
decentralizing vb 1.00
It-wit nn 1.00
three-dimensionality nn 1.00
symbolically advb 1.00
money's nn+ 0.50
money's nn 0.50
threat nn 1.00
beholds vb 1.00
not-so-lonely jj 1.00
Devil nn 1.00
ex-Mrs. nn 1.00
spoilables nn 1.00
fantasies nn 1.00
totaling vb 1.00
Tanin fw- 1.00
geologists nn 1.00
suburbia nn 1.00
McEnroe's np$ 1.00
Armenian jj 1.00
Chantilly nn 1.00
1,257,700 cd 1.00
enlargements nn 1.00
busyness nn 1.00
beating nn 0.23
beating vb 0.77
Canticle nn 1.00
Incinerator nn 1.00
Patriot nn 1.00
remuda nn 1.00
Stevie nn 1.00
Parvenu nn 1.00
articulations nn 1.00
dragooned vb 1.00
serenely advb 1.00
relatively advb 0.10
relatively ql 0.90
cracked vb 1.00
theatrically advb 1.00
activity nn 1.00
Gallium nn 1.00
Luang nn 1.00
Measures nn 1.00
Bethel nn 1.00
I.L. nn 1.00
centimeter nn 1.00
remote jj 1.00
hairless jj 1.00
Commander-in-Chief nn 1.00
signify vb 1.00
qualifications nn 1.00
Faber nn 1.00
pines nn 1.00
dash nn 0.90
dash vb 0.10
Heel-Holiday nn 1.00
venison nn 1.00
allocated vb 1.00
Sue nn 1.00
Senium fw-nn-tl 1.00
confronting vb 1.00
direction nn 1.00
Dronk's np$ 1.00
Holty nn 1.00
Dewey nn 1.00
Olive nn 1.00
flaming vb 1.00
shantung-like jj 1.00
bloc nn 1.00
modestly advb 1.00
systems nn 1.00
three-foot jj 1.00
blow nn 0.76
blow vb 0.24
sister nn 1.00
blot nn 0.83
blot vb 0.17
don't do* 0.99
don't vb 0.01
luminaries nn 1.00
1692 cd 1.00
1693 cd 1.00
1690 cd 1.00
emanated vb 1.00
blackboard nn 1.00
elms nn 1.00
Alliance nn 1.00
completely advb 0.57
completely ql 0.43
Indicating vb 1.00
enlivened vb 1.00
esse fw-vb-nc 0.50
esse fw 0.50
slope's nn 1.00
O'Banion nn 1.00
sincerely advb 1.00
Gardner nn 1.00
Pietro's np+ 1.00
motivate vb 1.00
Europeanization nn 1.00
Colman nn 1.00
hard-come-by jj 1.00
iodothyronines nn 1.00
photo nn 1.00
walls nn 1.00
Activities nn 1.00
stolid jj 1.00
quadriceps nn 1.00
soothe vb 1.00
sprinkled vb 1.00
corridor nn 1.00
Technicians nn 1.00
Hands-off advb 1.00
battlefront nn 1.00
6(j) cd 1.00
gastronomy nn 1.00
efforts nn 1.00
crave vb 1.00
Salsich nn 1.00
nicotine-choked jj 1.00
moans vb 1.00
agencies nn 1.00
quota nn 1.00
resorcinol nn 1.00
quote nn 0.12
quote vb 0.88
cross-fertilized vb 1.00
Natural jj 1.00
Naturam fw-nn-tl 1.00
apprentices nn 1.00
tabulation nn 1.00
worrisome jj 1.00
Ramillies nn 1.00
garments nn 1.00
apprenticed vb 1.00
papal jj 1.00
added vb 1.00
nudes nn 1.00
revolving vb 1.00
comedian nn 1.00
Steinberg nn 1.00
abrogated vb 1.00
Summary nn 1.00
bumpin vb 1.00
Complicity nn 1.00
ex-marine nn 1.00
marinade nn 1.00
Heckman nn 1.00
Deacon nn 1.00
Petipa-Tschaikowsky nn 1.00
Sweepstakes nn 1.00
well-baby nn 1.00
Everything's pn+ 1.00
general-purpose jj 1.00
figure nn 0.89
figure vb 0.11
Crosson's np$ 0.50
Crosson's np+ 0.50
resisted vb 1.00
reveling vb 1.00
Fur nn 0.50
Fur in 0.50
cruelly advb 1.00
Monk nn 1.00
oilseeds nn 1.00
Vigreux nn 1.00
romancers nn 1.00
Danny's np$ 1.00
congruence nn 1.00
uninvited jj 1.00
tambourine nn 1.00
screened vb 1.00
curbing vb 1.00
null jj 0.77
null nn 0.23
objecting vb 1.00
functioned vb 1.00
Fun nn 1.00
violence nn 1.00
theology's nn 1.00
amazement nn 1.00
voltage nn 1.00
orderings nn 1.00
normalize vb 1.00
airfield nn 1.00
Democratique fw-jj-tl 1.00
penalties nn 1.00
mutational jj 1.00
bathed vb 1.00
sensitive jj 1.00
Statistique fw-jj-tl 1.00
secondly advb 1.00
less-hurried jj 1.00
impertinent jj 1.00
lbs. nn 1.00
hose nn 1.00
syllabicity nn 1.00
hoss nn 1.00
antihistorical jj 1.00
host nn 1.00
denials nn 1.00
1840's nn 1.00
Prohibited vb 1.00
federal-question nn 1.00
Reverse vb 1.00
doubting vb 1.00
Iron jj 0.33
Iron nn 0.67
10-12 cd 1.00
demography nn 1.00
topmost jj 1.00
fierce jj 1.00
Lassus nn 1.00
Aikin nn 1.00
Hidden vb 1.00
foreknown jj 1.00
Aye-yah-ah-ah uh 1.00
noticeably advb 1.00
lecturer nn 1.00
lectures nn 1.00
light-weight jj 1.00
Romeo's np$ 1.00
circumstances nn 1.00
noticeable jj 1.00
newcomer nn 1.00
transforming vb 1.00
lectured vb 1.00
wide-sweeping jj 1.00
truant jj 1.00
Panyotis nn 1.00
muff nn 1.00
footfalls nn 1.00
irons nn 1.00
virtue nn 1.00
fastidious jj 1.00
liter nn 1.00
perpetual jj 1.00
Surcliffe nn 1.00
within advb 0.02
within in 0.98
1789-1839 cd 1.00
preaching nn 0.47
preaching vb 0.53
Pagnol's np$ 1.00
Wally's np$ 0.33
Wally's np+ 0.67
Sapio nn 1.00
Brooks's np$ 1.00
limps vb 1.00
reestablish vb 1.00
confidentiality nn 1.00
heir nn 1.00
fountainhead nn 1.00
Places nn 1.00
stake nn 0.95
stake vb 0.05
excerpts nn 1.00
AIChE nn 1.00
majestically ql 1.00
feeding-pain nn 1.00
Notes nn 0.67
Notes nns-tl-hl 0.33
appraisals nn 1.00
humorous jj 1.00
There nn 0.95
There advb 0.05
curve nn 1.00
Bostitch nn 1.00
explained vb 1.00
confronts vb 1.00
reports nn 0.83
reports vb 0.17
Choral jj 1.00
wire-haired jj 1.00
redo vb 1.00
palaces nn 1.00
gelding nn 1.00
deception nn 1.00
flyers nn 1.00
blizzards nn 1.00
Enrique nn 1.00
neo-stagnationist nn 1.00
unspeakable jj 1.00
coordination nn 1.00
$700 nn 1.00
tumultuous jj 1.00
reds nn 1.00
applicable jj 1.00
meticulous jj 1.00
Lockies nn 1.00
lurching vb 1.00
romanticizing nn 1.00
Harbert nn 1.00
findings nn 1.00
Alessio nn 1.00
Ordinary nn 0.40
Ordinary jj 0.60
grieving vb 1.00
antagonism nn 1.00
prosceniums nn 1.00
burden nn 0.98
burden vb 0.02
Evelyn nn 1.00
Grassy jj 1.00
implement nn 0.25
implement vb 0.75
commitment nn 1.00
shift nn 0.63
shift vb 0.37
Proprietorship nn 1.00
necrotic jj 1.00
moraine's nn 1.00
drilling nn 0.10
drilling vb 0.90
vigil nn 1.00
Vicenza nn 1.00
Cypress nn 1.00
Harlan-Hickory nn 1.00
C'un nn 1.00
Bruhn nn 1.00
fadeout nn 1.00
Marxist nn 1.00
handgun nn 1.00
strong jj 0.98
strong advb 0.02
Mannerhouse nn 1.00
upshot nn 1.00
softly advb 0.97
softly ql 0.03
Laotian jj 1.00
naturally advb 1.00
implicitly advb 1.00
fined vb 1.00
long-sought jj 1.00
evenings nn 1.00
Exegete nn 1.00
straight-haired jj 1.00
month-long jj 1.00
fines nn 1.00
finer jj 1.00
Troy nn 1.00
extraordinary jj 1.00
descriptive jj 1.00
plenary jj 1.00
Schnabel nn 1.00
pricking vb 1.00
Fires nn 1.00
Strukturbericht fw-nn-nc 1.00
truth-packed jj 1.00
half-gainer nn 1.00
interests nn 0.98
interests vb 0.02
timeless jj 1.00
goddamn jj 0.71
goddamn ql 0.29
eyelid nn 1.00
substrates nn 1.00
Fired vb 1.00
Retrace nn 1.00
Attorneys nn 1.00
ebullient jj 1.00
wryly advb 1.00
case-to-case jj 1.00
doomsday nn 1.00
welcomed vb 1.00
steers nn 1.00
willinge jj 1.00
$4,177.37 nn 1.00
You've ppss+hv-tl 0.04
You've pn 0.96
noisier jj 1.00
purports vb 1.00
to-and-fro advb 1.00
feedback nn 1.00
Perken nn 1.00
antipodes nn 1.00
sneak nn 0.50
sneak vb 0.50
Lev nn 1.00
13.8 cd 1.00
13.9 cd 1.00
petty jj 1.00
fraternities nn 1.00
sovereigns nn 1.00
campaign nn 0.94
campaign vb 0.06
13.5 cd 1.00
Narbonne nn 1.00
entrepreneurs nn 1.00
aptness nn 1.00
administration nn 1.00
senators nn 1.00
disarranged vb 1.00
Heroic jj 1.00
Clint nn 1.00
long-stemmed jj 1.00
Dallas-headquartered jj 1.00
dangerous jj 1.00
kept vb 1.00
toes nn 1.00
retailing nn 0.60
retailing vb 0.40
legislatures nn 1.00
passerby nn 1.00
solicits vb 1.00
Silver jj 1.00
non-fiction nn 1.00
Wall-Tex nn 1.00
populous jj 1.00
Leningrad-Kirov nn 1.00
Kittredge nn 1.00
ahead advb 1.00
fifty-nine cd 1.00
42-inch jj 1.00
visitor nn 1.00
Trickster nn 1.00
manpower nn 1.00
University's nn 1.00
smart jj 0.95
smart advb 0.05
husbun nn 1.00
Ramirez nn 1.00
Patchen nn 1.00
Mimesis nn 1.00
martini nn 1.00
electrotherapist nn 1.00
unmotivated jj 1.00
pax-ordo fw 1.00
Its pn 1.00
Prosperity nn 1.00
Hals nn 1.00
rummaging vb 1.00
cultures nn 1.00
Choir nn 1.00
farms nn 1.00
deep-sounding jj 1.00
Hall nn 1.00
Spencer nn 1.00
Mahayanist nn 1.00
cultured vb 1.00
alter vb 1.00
Hale nn 1.00
Half dt 0.50
Half nn 0.33
Half ql 0.17
ordnance nn 1.00
Kai-shek nn 1.00
Augustan jj 1.00
shrill jj 1.00
Spanish-born nn 1.00
burrowed vb 1.00
Tonio nn 1.00
publicity nn 1.00
bien fw 1.00
10-team jj 1.00
omit vb 1.00
Highlands nn 1.00
Benelux nn 1.00
feigning vb 1.00
timeliness nn 1.00
Action nn 1.00
fights nn 0.40
fights vb 0.60
totalitarian jj 1.00
Cobb's np$ 1.00
immaterial jj 1.00
Philosophic jj 1.00
Rummel nn 1.00
unauthentic jj 1.00
imagined vb 1.00
Geodetic jj 1.00
brazier nn 1.00
imagines vb 1.00
leapfrog nn 1.00
thence advb 1.00
de-iodinase nn 1.00
mores nn 1.00
havoc nn 1.00
wigmaker nn 1.00
motel-keeping nn 1.00
offensively advb 1.00
anecdote nn 1.00
Harrison's np$ 1.00
Prettyman nn 1.00
quantitative jj 1.00
donkey nn 1.00
Reavey's np$ 1.00
hideaway nn 1.00
fortiori fw- 1.00
Vastly ql 1.00
prize-winning jj 1.00
buckling vb 1.00
Less dt 0.55
Less ql 0.45
amazons nn 1.00
baron nn 1.00
gym nn 1.00
teetering vb 1.00
sneezing vb 1.00
Mennonite jj 1.00
foppish jj 1.00
p-aminobenzoic nn 1.00
Sort nn 0.33
Sort vb 0.67
Lao nn 1.00
sticky-fingered jj 1.00
filling nn 0.21
filling vb 0.79
abnormalities nn 1.00
ardor nn 1.00
Similar jj 1.00
Lay nn 0.25
Lay jj 0.50
Lay vb 0.25
Cater nn 1.00
drawing nn 0.32
drawing vb 0.68
Las nn 0.80
Las fw-at-tl 0.20
Lap nn 1.00
Index nn 1.00
Law nn 1.00
depict vb 1.00
Elemental jj 1.00
tantamount jj 1.00
Charity nn 1.00
Piranesi nn 1.00
polyisocyanates nn 1.00
Haskell nn 1.00
eye-filling jj 1.00
Minnie nn 1.00
Bombus nn 1.00
condescension nn 1.00
self-delusion nn 1.00
undedicated jj 1.00
visitations nn 1.00
Neon nn 1.00
Claude nn 1.00
rhythmically advb 1.00
eqns. nn 1.00
alcoholic jj 1.00
Warren's np$ 1.00
La. nn 1.00
devoid jj 1.00
Beowulf's np$ 1.00
superbly advb 0.56
superbly ql 0.44
grotesques nn 1.00
rambles vb 1.00
Motive nn 1.00
fatigues nn 1.00
Ortega nn 1.00
drawin' vb 1.00
restates vb 1.00
Wieland nn 1.00
carelessly advb 1.00
Mencius nn 1.00
1162 cd 1.00
anti-intellectual jj 1.00
impotence nn 1.00
cudgels nn 1.00
wits nn 1.00
snack nn 1.00
Entrance nn 1.00
Rudkoebing nn 1.00
slurries nn 1.00
impotency nn 1.00
praises vb 1.00
meaning nn 0.91
meaning vb 0.09
case-hardened jj 1.00
tuberculosis nn 1.00
McGovern's np$ 1.00
Chung nn 1.00
cutting nn 0.13
cutting vb 0.87
1808-1895 cd 1.00
Speedup nn 1.00
sorry jj 1.00
lower-status nn 1.00
horsepower nn 1.00
sentinels nn 1.00
Muzyka fw-nn-tl 1.00
property nn 1.00
Roxy nn 1.00
dissolved vb 1.00
ridden vb 1.00
shambling vb 1.00
meanin' nn 0.50
meanin' vb 0.50
Concepts nn 1.00
staccato nn 1.00
hit-and-miss jj 1.00
Palazzo nn 1.00
upholstered vb 1.00
sisters' nn 1.00
trammel vb 1.00
disdainful jj 1.00
Waggin nn 1.00
Barnard nn 1.00
antagonised vb 1.00
endeared vb 1.00
sympathizing vb 1.00
professed vb 1.00
Milbankes nn 1.00
obediences nn 1.00
Rennell nn 1.00
nod nn 0.64
nod vb 0.36
Rooms nn 1.00
underlies vb 1.00
Pisces nn 1.00
rococo nn 0.40
rococo jj 0.60
Church's nn 1.00
187-mile jj 1.00
professes vb 1.00
shopper nn 1.00
now advb 1.00
not * 1.00
not *-nc 0.00
not *-hl 0.00
pickoff nn 1.00
nor cc 1.00
Leukemia nn 1.00
fluttered vb 1.00
terminate vb 1.00
Round's np$ 1.00
determines vb 1.00
chevaux fw- 1.00
fifty cd 1.00
exemptions nn 1.00
engagingly advb 1.00
determined vb 1.00
no. nn 1.00
Elevated vb 1.00
palpable jj 1.00
Raft nn 1.00
Calmer jj 1.00
slant-wise advb 1.00
Jimmie nn 1.00
Amado nn 1.00
loosest jj 1.00
Bug nn 1.00
ticket nn 1.00
shorts nn 1.00
imminent jj 1.00
Lexington nn 1.00
rob vb 1.00
glances nn 1.00
compute vb 1.00
Hopkins' np$ 1.00
consulting vb 1.00
brightened vb 1.00
Vice jj 1.00
speckles nn 1.00
Thesis nn 1.00
unfortunately advb 1.00
Pilots nn 1.00
Milhaud's np$ 1.00
Eliot-or-Martin nil 1.00
transaminase nn 1.00
enlarged vb 1.00
bridle nn 1.00
court's nn 1.00
takin vb 1.00
whorls nn 1.00
Expansion nn 1.00
diseases nn 1.00
mammals nn 1.00
figs. nn 1.00
ersatz fw 1.00
Hesperus' np$ 1.00
Czerny nn 1.00
war-dirty jj 1.00
scarred vb 1.00
Property nn 1.00
fabled jj 1.00
Loss nn 1.00
Presses nn 1.00
Presser nn 1.00
obligingly advb 1.00
one-man jj 1.00
producing nn 0.03
producing vb 0.97
potato nn 1.00
Camusfearna nn 1.00
fables nn 1.00
chandelle vb 1.00
clear-channel jj 1.00
A-Z's np$ 1.00
Jason nn 1.00
ingratitude nn 1.00
hereabouts advb 1.00
turnings nn 1.00
wastewater nn 1.00
whereever advb 1.00
Mallory's np$ 1.00
Pap-pap-pap-hey uh 1.00
Dorset nn 1.00
Thinking nn 0.20
Thinking vb 0.80
Dorsey nn 1.00
two-year-old nn 1.00
Buxton nn 1.00
Observing vb 1.00
neatly advb 1.00
crouch nn 0.50
crouch vb 0.50
Beethoven nn 1.00
palpably advb 1.00
target's nn 1.00
resigns vb 1.00
slop nn 0.50
slop vb 0.50
Fidel nn 1.00
producin' vb 1.00
Clair nn 1.00
Miyagi nn 1.00
slave nn 1.00
stylemark nn 1.00
Korman nn 1.00
127-mile jj 1.00
cooks nn 1.00
Manuscript nn 1.00
truckers nn 1.00
striding vb 1.00
seaside nn 1.00
consternation nn 1.00
encased vb 1.00
Comus nn 1.00
thrashed vb 1.00
ribbons nn 1.00
Hebrew nn 0.70
Hebrew jj 0.30
26-2 cd 1.00
Jim's np$ 1.00
pleasantly advb 0.90
pleasantly ql 0.10
ulcer nn 1.00
profiles nn 1.00
Virgilia nn 1.00
heisted vb 1.00
Farouk nn 1.00
oozed vb 1.00
Whipple's np$ 1.00
anticipatory jj 1.00
well-written jj 1.00
Brains nn 1.00
readable jj 1.00
noise nn 1.00
Watching vb 1.00
neo-classicism nn 1.00
Cate's np$ 1.00
noisy jj 1.00
yawning vb 1.00
golf's nn 1.00
petted vb 1.00
priorities nn 1.00
seventy-five-foot jj 1.00
poet's nn 1.00
flames nn 1.00
London-based jj 1.00
Lumumba nn 1.00
Dauphine nn 1.00
contraction nn 1.00
flamed vb 1.00
boxed-in jj 1.00
Robby nn 1.00
Freeman's np$ 1.00
sprang vb 1.00
area nn 1.00
unreliability nn 1.00
definitive jj 1.00
voluntary-control nn 1.00
Resting vb 1.00
immeasurable jj 1.00
landslides nn 1.00
Jew-haters nn 1.00
immeasurably ql 1.00
Indeterminate jj 1.00
nights nn 1.00
Theater nn 1.00
Gloom nn 1.00
Mayfair nn 1.00
sandwich nn 1.00
187.5 cd 1.00
unexpected jj 1.00
reply nn 0.62
reply vb 0.38
tagua nn 1.00
fronted vb 1.00
kidnaped vb 1.00
Turnover nn 1.00
Dean nn 1.00
inoculation nn 1.00
spectacles nn 1.00
$2.30 mbf 1.00
perusal nn 1.00
kneeling vb 1.00
flyaway jj 1.00
kwhr nn 1.00
Ones nn 1.00
self-energizing jj 1.00
yes advb 1.00
capitalists' nn 1.00
interfacial jj 1.00
flops vb 1.00
Riders nn 1.00
609 cd 1.00
607 cd 1.00
606 cd 1.00
605 cd 1.00
603 cd 1.00
measurement nn 1.00
601 cd 1.00
600 cd 1.00
NRL nn 1.00
Casanova nn 1.00
frank jj 0.82
frank nn 0.18
changes nn 0.92
changes vb 0.08
Chandler's np$ 1.00
Stein nn 1.00
60% nn 1.00
franc nn 1.00
NRA nn 1.00
Davao nn 1.00
Bet nn 1.00
Engineers nn 1.00
self-realized jj 1.00
substructure nn 1.00
Bey nn 1.00
Press nn 0.78
Press vb 0.17
Press nn-tl-hl 0.04
cobalt-60 nn 1.00
Bed nn 1.00
Bee nn 1.00
Rochford nn 1.00
account nn 0.77
account vb 0.23
Bea nn 1.00
gnashing vb 1.00
Bel nn 1.00
Ben nn 1.00
reminded vb 1.00
Winnipesaukee nn 1.00
ceteras fw- 1.00
soul-searching jj 1.00
Pinkie nn 1.00
uncommon jj 1.00
omission nn 1.00
hottest jj 1.00
biases nn 1.00
SH nn 1.00
Dubin nn 1.00
Shell nn 1.00
algae nn 1.00
deteriorate vb 1.00
Himalayas nn 1.00
musicologists nn 1.00
18-25 cd 1.00
